id	document	label
54	다음주 테레비에 예약된 프로그램	0
55	테레비에 오후에 예약된 프로그램	0
56	오후에 테레비에 예약된 프로그램	0
57	테레비에 2시에 예약된 프로그램	0
58	2시에 테레비에 예약된 프로그램	0
59	테레비에 12시에 예약된 프로그램	0
60	12시에 테레비에 예약된 프로그램	0
61	테레비에 22시에 예약된 프로그램	0
62	22시에 테레비에 예약된 프로그램	0
63	테레비에 오전 3시에 예약된 프로그램	0
64	오전 3시에 테레비에 예약된 프로그램	0
65	테레비에 오후 3시에 예약된 프로그램	0
66	오후 3시에 테레비에 예약된 프로그램	0
67	테레비에 오전 9시에 예약된 프로그램	0
68	오전 9시에 테레비에 예약된 프로그램	0
69	테레비에 오후 9시에 예약된 프로그램	0
70	오후 9시에 테레비에 예약된 프로그램	0
71	테레비에 2일 뒤에 예약된 프로그램	0
72	2일 뒤에 테레비에 예약된 프로그램	0
73	테레비에 6일 뒤에 예약된 프로그램	0
74	6일 뒤에 테레비에 예약된 프로그램	0
75	테레비에 예약했었던 프로그램	0
76	테레비에 오늘 예약했었던 프로그램	0
77	오늘 테레비에 예약했었던 프로그램	0
78	테레비에 다음주 예약했었던 프로그램	0
79	다음주 테레비에 예약했었던 프로그램	0
80	테레비에 오후에 예약했었던 프로그램	0
81	오후에 테레비에 예약했었던 프로그램	0
82	테레비에 2시에 예약했었던 프로그램	0
83	2시에 테레비에 예약했었던 프로그램	0
84	테레비에 12시에 예약했었던 프로그램	0
85	12시에 테레비에 예약했었던 프로그램	0
86	테레비에 22시에 예약했었던 프로그램	0
87	22시에 테레비에 예약했었던 프로그램	0
88	테레비에 오전 3시에 예약했었던 프로그램	0
89	오전 3시에 테레비에 예약했었던 프로그램	0
90	테레비에 오후 3시에 예약했었던 프로그램	0
91	오후 3시에 테레비에 예약했었던 프로그램	0
92	테레비에 오전 9시에 예약했었던 프로그램	0
93	오전 9시에 테레비에 예약했었던 프로그램	0
94	테레비에 오후 9시에 예약했었던 프로그램	0
95	오후 9시에 테레비에 예약했었던 프로그램	0
96	테레비에 2일 뒤에 예약했었던 프로그램	0
97	2일 뒤에 테레비에 예약했었던 프로그램	0
98	테레비에 6일 뒤에 예약했었던 프로그램	0
99	6일 뒤에 테레비에 예약했었던 프로그램	0
100	테레비에 예약된 것들	0
101	테레비에 오늘 예약된 것들	0
102	오늘 테레비에 예약된 것들	0
103	테레비에 다음주 예약된 것들	0
104	다음주 테레비에 예약된 것들	0
105	테레비에 오후에 예약된 것들	0
106	오후에 테레비에 예약된 것들	0
107	테레비에 2시에 예약된 것들	0
108	2시에 테레비에 예약된 것들	0
109	테레비에 12시에 예약된 것들	0
110	12시에 테레비에 예약된 것들	0
111	테레비에 22시에 예약된 것들	0
112	22시에 테레비에 예약된 것들	0
113	테레비에 오전 3시에 예약된 것들	0
114	오전 3시에 테레비에 예약된 것들	0
115	테레비에 오후 3시에 예약된 것들	0
116	오후 3시에 테레비에 예약된 것들	0
117	테레비에 오전 9시에 예약된 것들	0
118	오전 9시에 테레비에 예약된 것들	0
119	테레비에 오후 9시에 예약된 것들	0
120	오후 9시에 테레비에 예약된 것들	0
121	테레비에 2일 뒤에 예약된 것들	0
122	2일 뒤에 테레비에 예약된 것들	0
123	테레비에 6일 뒤에 예약된 것들	0
124	6일 뒤에 테레비에 예약된 것들	0
125	테레비에 예약했었던 것들	0
126	테레비에 오늘 예약했었던 것들	0
127	오늘 테레비에 예약했었던 것들	0
128	테레비에 다음주 예약했었던 것들	0
129	다음주 테레비에 예약했었던 것들	0
130	테레비에 오후에 예약했었던 것들	0
131	오후에 테레비에 예약했었던 것들	0
132	테레비에 2시에 예약했었던 것들	0
133	2시에 테레비에 예약했었던 것들	0
134	테레비에 12시에 예약했었던 것들	0
135	12시에 테레비에 예약했었던 것들	0
136	테레비에 22시에 예약했었던 것들	0
137	22시에 테레비에 예약했었던 것들	0
138	테레비에 오전 3시에 예약했었던 것들	0
139	오전 3시에 테레비에 예약했었던 것들	0
140	테레비에 오후 3시에 예약했었던 것들	0
141	오후 3시에 테레비에 예약했었던 것들	0
142	테레비에 오전 9시에 예약했었던 것들	0
143	오전 9시에 테레비에 예약했었던 것들	0
144	테레비에 오후 9시에 예약했었던 것들	0
145	오후 9시에 테레비에 예약했었던 것들	0
146	테레비에 2일 뒤에 예약했었던 것들	0
147	2일 뒤에 테레비에 예약했었던 것들	0
148	테레비에 6일 뒤에 예약했었던 것들	0
149	6일 뒤에 테레비에 예약했었던 것들	0
150	TV에서 예약된 프로들	0
151	TV에서 오늘 예약된 프로들	0
152	오늘 TV에서 예약된 프로들	0
153	TV에서 다음주 예약된 프로들	0
154	다음주 TV에서 예약된 프로들	0
155	TV에서 오후에 예약된 프로들	0
156	오후에 TV에서 예약된 프로들	0
157	TV에서 2시에 예약된 프로들	0
158	2시에 TV에서 예약된 프로들	0
159	TV에서 12시에 예약된 프로들	0
160	12시에 TV에서 예약된 프로들	0
161	TV에서 22시에 예약된 프로들	0
162	22시에 TV에서 예약된 프로들	0
163	TV에서 오전 3시에 예약된 프로들	0
164	오전 3시에 TV에서 예약된 프로들	0
165	TV에서 오후 3시에 예약된 프로들	0
166	오후 3시에 TV에서 예약된 프로들	0
167	TV에서 오전 9시에 예약된 프로들	0
168	오전 9시에 TV에서 예약된 프로들	0
169	TV에서 오후 9시에 예약된 프로들	0
170	오후 9시에 TV에서 예약된 프로들	0
171	TV에서 2일 뒤에 예약된 프로들	0
172	2일 뒤에 TV에서 예약된 프로들	0
173	TV에서 6일 뒤에 예약된 프로들	0
174	6일 뒤에 TV에서 예약된 프로들	0
175	TV에서 예약했었던 프로들	0
176	TV에서 오늘 예약했었던 프로들	0
177	오늘 TV에서 예약했었던 프로들	0
178	TV에서 다음주 예약했었던 프로들	0
179	다음주 TV에서 예약했었던 프로들	0
180	TV에서 오후에 예약했었던 프로들	0
181	오후에 TV에서 예약했었던 프로들	0
182	TV에서 2시에 예약했었던 프로들	0
183	2시에 TV에서 예약했었던 프로들	0
184	TV에서 12시에 예약했었던 프로들	0
185	12시에 TV에서 예약했었던 프로들	0
186	TV에서 22시에 예약했었던 프로들	0
187	22시에 TV에서 예약했었던 프로들	0
188	TV에서 오전 3시에 예약했었던 프로들	0
189	오전 3시에 TV에서 예약했었던 프로들	0
190	TV에서 오후 3시에 예약했었던 프로들	0
191	오후 3시에 TV에서 예약했었던 프로들	0
192	TV에서 오전 9시에 예약했었던 프로들	0
193	오전 9시에 TV에서 예약했었던 프로들	0
194	TV에서 오후 9시에 예약했었던 프로들	0
195	오후 9시에 TV에서 예약했었던 프로들	0
196	TV에서 2일 뒤에 예약했었던 프로들	0
197	2일 뒤에 TV에서 예약했었던 프로들	0
198	TV에서 6일 뒤에 예약했었던 프로들	0
199	6일 뒤에 TV에서 예약했었던 프로들	0
200	TV에서 예약된 프로그램	0
201	TV에서 오늘 예약된 프로그램	0
202	오늘 TV에서 예약된 프로그램	0
203	TV에서 다음주 예약된 프로그램	0
204	다음주 TV에서 예약된 프로그램	0
205	TV에서 오후에 예약된 프로그램	0
206	오후에 TV에서 예약된 프로그램	0
207	TV에서 2시에 예약된 프로그램	0
208	2시에 TV에서 예약된 프로그램	0
209	TV에서 12시에 예약된 프로그램	0
210	12시에 TV에서 예약된 프로그램	0
211	TV에서 22시에 예약된 프로그램	0
212	22시에 TV에서 예약된 프로그램	0
213	TV에서 오전 3시에 예약된 프로그램	0
214	오전 3시에 TV에서 예약된 프로그램	0
215	TV에서 오후 3시에 예약된 프로그램	0
216	오후 3시에 TV에서 예약된 프로그램	0
217	TV에서 오전 9시에 예약된 프로그램	0
218	오전 9시에 TV에서 예약된 프로그램	0
219	TV에서 오후 9시에 예약된 프로그램	0
220	오후 9시에 TV에서 예약된 프로그램	0
221	TV에서 2일 뒤에 예약된 프로그램	0
222	2일 뒤에 TV에서 예약된 프로그램	0
223	TV에서 6일 뒤에 예약된 프로그램	0
224	6일 뒤에 TV에서 예약된 프로그램	0
225	TV에서 예약했었던 프로그램	0
226	TV에서 오늘 예약했었던 프로그램	0
227	오늘 TV에서 예약했었던 프로그램	0
228	TV에서 다음주 예약했었던 프로그램	0
229	다음주 TV에서 예약했었던 프로그램	0
230	TV에서 오후에 예약했었던 프로그램	0
231	오후에 TV에서 예약했었던 프로그램	0
232	TV에서 2시에 예약했었던 프로그램	0
233	2시에 TV에서 예약했었던 프로그램	0
234	TV에서 12시에 예약했었던 프로그램	0
235	12시에 TV에서 예약했었던 프로그램	0
236	TV에서 22시에 예약했었던 프로그램	0
237	22시에 TV에서 예약했었던 프로그램	0
238	TV에서 오전 3시에 예약했었던 프로그램	0
239	오전 3시에 TV에서 예약했었던 프로그램	0
240	TV에서 오후 3시에 예약했었던 프로그램	0
241	오후 3시에 TV에서 예약했었던 프로그램	0
242	TV에서 오전 9시에 예약했었던 프로그램	0
243	오전 9시에 TV에서 예약했었던 프로그램	0
244	TV에서 오후 9시에 예약했었던 프로그램	0
245	오후 9시에 TV에서 예약했었던 프로그램	0
246	TV에서 2일 뒤에 예약했었던 프로그램	0
247	2일 뒤에 TV에서 예약했었던 프로그램	0
248	TV에서 6일 뒤에 예약했었던 프로그램	0
249	6일 뒤에 TV에서 예약했었던 프로그램	0
250	TV에서 예약된 것들	0
251	TV에서 오늘 예약된 것들	0
252	오늘 TV에서 예약된 것들	0
253	TV에서 다음주 예약된 것들	0
254	다음주 TV에서 예약된 것들	0
255	TV에서 오후에 예약된 것들	0
256	오후에 TV에서 예약된 것들	0
257	TV에서 2시에 예약된 것들	0
258	2시에 TV에서 예약된 것들	0
259	TV에서 12시에 예약된 것들	0
260	12시에 TV에서 예약된 것들	0
261	TV에서 22시에 예약된 것들	0
262	22시에 TV에서 예약된 것들	0
263	TV에서 오전 3시에 예약된 것들	0
264	오전 3시에 TV에서 예약된 것들	0
265	TV에서 오후 3시에 예약된 것들	0
266	오후 3시에 TV에서 예약된 것들	0
267	TV에서 오전 9시에 예약된 것들	0
268	오전 9시에 TV에서 예약된 것들	0
269	TV에서 오후 9시에 예약된 것들	0
270	오후 9시에 TV에서 예약된 것들	0
271	TV에서 2일 뒤에 예약된 것들	0
272	2일 뒤에 TV에서 예약된 것들	0
273	TV에서 6일 뒤에 예약된 것들	0
274	6일 뒤에 TV에서 예약된 것들	0
275	TV에서 예약했었던 것들	0
276	TV에서 오늘 예약했었던 것들	0
277	오늘 TV에서 예약했었던 것들	0
278	TV에서 다음주 예약했었던 것들	0
279	다음주 TV에서 예약했었던 것들	0
280	TV에서 오후에 예약했었던 것들	0
281	오후에 TV에서 예약했었던 것들	0
282	TV에서 2시에 예약했었던 것들	0
283	2시에 TV에서 예약했었던 것들	0
284	TV에서 12시에 예약했었던 것들	0
285	12시에 TV에서 예약했었던 것들	0
286	TV에서 22시에 예약했었던 것들	0
287	22시에 TV에서 예약했었던 것들	0
288	TV에서 오전 3시에 예약했었던 것들	0
289	오전 3시에 TV에서 예약했었던 것들	0
290	TV에서 오후 3시에 예약했었던 것들	0
291	오후 3시에 TV에서 예약했었던 것들	0
292	TV에서 오전 9시에 예약했었던 것들	0
293	오전 9시에 TV에서 예약했었던 것들	0
294	TV에서 오후 9시에 예약했었던 것들	0
295	오후 9시에 TV에서 예약했었던 것들	0
296	TV에서 2일 뒤에 예약했었던 것들	0
297	2일 뒤에 TV에서 예약했었던 것들	0
298	TV에서 6일 뒤에 예약했었던 것들	0
299	6일 뒤에 TV에서 예약했었던 것들	0
300	프로를 예약했니	0
301	오늘 프로를 예약했니	0
302	다음주 프로를 예약했니	0
303	오후에 프로를 예약했니	0
304	2시에 프로를 예약했니	0
305	12시에 프로를 예약했니	0
306	22시에 프로를 예약했니	0
307	오전 3시에 프로를 예약했니	0
308	오후 3시에 프로를 예약했니	0
309	오전 9시에 프로를 예약했니	0
310	오후 9시에 프로를 예약했니	0
311	2일 뒤에 프로를 예약했니	0
312	6일 뒤에 프로를 예약했니	0
313	프로를 예약했지	0
314	오늘 프로를 예약했지	0
315	다음주 프로를 예약했지	0
316	오후에 프로를 예약했지	0
317	2시에 프로를 예약했지	0
318	12시에 프로를 예약했지	0
319	22시에 프로를 예약했지	0
320	오전 3시에 프로를 예약했지	0
321	오후 3시에 프로를 예약했지	0
322	오전 9시에 프로를 예약했지	0
323	오후 9시에 프로를 예약했지	0
324	2일 뒤에 프로를 예약했지	0
325	6일 뒤에 프로를 예약했지	0
326	프로를 예약했었냐	0
327	오늘 프로를 예약했었냐	0
328	다음주 프로를 예약했었냐	0
329	오후에 프로를 예약했었냐	0
330	2시에 프로를 예약했었냐	0
331	12시에 프로를 예약했었냐	0
332	22시에 프로를 예약했었냐	0
333	오전 3시에 프로를 예약했었냐	0
334	오후 3시에 프로를 예약했었냐	0
335	오전 9시에 프로를 예약했었냐	0
336	오후 9시에 프로를 예약했었냐	0
337	2일 뒤에 프로를 예약했었냐	0
338	6일 뒤에 프로를 예약했었냐	0
339	프로를 예약한건가	0
340	오늘 프로를 예약한건가	0
341	다음주 프로를 예약한건가	0
342	오후에 프로를 예약한건가	0
343	2시에 프로를 예약한건가	0
344	12시에 프로를 예약한건가	0
345	22시에 프로를 예약한건가	0
346	오전 3시에 프로를 예약한건가	0
347	오후 3시에 프로를 예약한건가	0
348	오전 9시에 프로를 예약한건가	0
349	오후 9시에 프로를 예약한건가	0
350	2일 뒤에 프로를 예약한건가	0
351	6일 뒤에 프로를 예약한건가	0
352	TV에 프로를 예약했니	0
353	TV에 오늘 프로를 예약했니	0
354	오늘 TV에 프로를 예약했니	0
355	TV에 다음주 프로를 예약했니	0
356	다음주 TV에 프로를 예약했니	0
357	TV에 오후에 프로를 예약했니	0
358	오후에 TV에 프로를 예약했니	0
359	TV에 2시에 프로를 예약했니	0
360	2시에 TV에 프로를 예약했니	0
361	TV에 12시에 프로를 예약했니	0
362	12시에 TV에 프로를 예약했니	0
363	TV에 22시에 프로를 예약했니	0
364	22시에 TV에 프로를 예약했니	0
365	TV에 오전 3시에 프로를 예약했니	0
366	오전 3시에 TV에 프로를 예약했니	0
367	TV에 오후 3시에 프로를 예약했니	0
368	오후 3시에 TV에 프로를 예약했니	0
369	TV에 오전 9시에 프로를 예약했니	0
370	오전 9시에 TV에 프로를 예약했니	0
371	TV에 오후 9시에 프로를 예약했니	0
372	오후 9시에 TV에 프로를 예약했니	0
373	TV에 2일 뒤에 프로를 예약했니	0
374	2일 뒤에 TV에 프로를 예약했니	0
375	TV에 6일 뒤에 프로를 예약했니	0
376	6일 뒤에 TV에 프로를 예약했니	0
377	TV에 프로를 예약했지	0
378	TV에 오늘 프로를 예약했지	0
379	오늘 TV에 프로를 예약했지	0
380	TV에 다음주 프로를 예약했지	0
381	다음주 TV에 프로를 예약했지	0
382	TV에 오후에 프로를 예약했지	0
383	오후에 TV에 프로를 예약했지	0
384	TV에 2시에 프로를 예약했지	0
385	2시에 TV에 프로를 예약했지	0
386	TV에 12시에 프로를 예약했지	0
387	12시에 TV에 프로를 예약했지	0
388	TV에 22시에 프로를 예약했지	0
389	22시에 TV에 프로를 예약했지	0
390	TV에 오전 3시에 프로를 예약했지	0
391	오전 3시에 TV에 프로를 예약했지	0
392	TV에 오후 3시에 프로를 예약했지	0
393	오후 3시에 TV에 프로를 예약했지	0
394	TV에 오전 9시에 프로를 예약했지	0
395	오전 9시에 TV에 프로를 예약했지	0
396	TV에 오후 9시에 프로를 예약했지	0
397	오후 9시에 TV에 프로를 예약했지	0
398	TV에 2일 뒤에 프로를 예약했지	0
399	2일 뒤에 TV에 프로를 예약했지	0
400	TV에 6일 뒤에 프로를 예약했지	0
401	6일 뒤에 TV에 프로를 예약했지	0
402	TV에 프로를 예약했었냐	0
403	TV에 오늘 프로를 예약했었냐	0
404	오늘 TV에 프로를 예약했었냐	0
405	TV에 다음주 프로를 예약했었냐	0
406	다음주 TV에 프로를 예약했었냐	0
407	TV에 오후에 프로를 예약했었냐	0
408	오후에 TV에 프로를 예약했었냐	0
409	TV에 2시에 프로를 예약했었냐	0
410	2시에 TV에 프로를 예약했었냐	0
411	TV에 12시에 프로를 예약했었냐	0
412	12시에 TV에 프로를 예약했었냐	0
413	TV에 22시에 프로를 예약했었냐	0
414	22시에 TV에 프로를 예약했었냐	0
415	TV에 오전 3시에 프로를 예약했었냐	0
416	오전 3시에 TV에 프로를 예약했었냐	0
417	TV에 오후 3시에 프로를 예약했었냐	0
418	오후 3시에 TV에 프로를 예약했었냐	0
419	TV에 오전 9시에 프로를 예약했었냐	0
420	오전 9시에 TV에 프로를 예약했었냐	0
421	TV에 오후 9시에 프로를 예약했었냐	0
422	오후 9시에 TV에 프로를 예약했었냐	0
423	TV에 2일 뒤에 프로를 예약했었냐	0
424	2일 뒤에 TV에 프로를 예약했었냐	0
425	TV에 6일 뒤에 프로를 예약했었냐	0
426	6일 뒤에 TV에 프로를 예약했었냐	0
427	TV에 프로를 예약한건가	0
428	TV에 오늘 프로를 예약한건가	0
429	오늘 TV에 프로를 예약한건가	0
430	TV에 다음주 프로를 예약한건가	0
431	다음주 TV에 프로를 예약한건가	0
432	TV에 오후에 프로를 예약한건가	0
433	오후에 TV에 프로를 예약한건가	0
434	TV에 2시에 프로를 예약한건가	0
435	2시에 TV에 프로를 예약한건가	0
436	TV에 12시에 프로를 예약한건가	0
437	12시에 TV에 프로를 예약한건가	0
438	TV에 22시에 프로를 예약한건가	0
439	22시에 TV에 프로를 예약한건가	0
440	TV에 오전 3시에 프로를 예약한건가	0
441	오전 3시에 TV에 프로를 예약한건가	0
442	TV에 오후 3시에 프로를 예약한건가	0
443	오후 3시에 TV에 프로를 예약한건가	0
444	TV에 오전 9시에 프로를 예약한건가	0
445	오전 9시에 TV에 프로를 예약한건가	0
446	TV에 오후 9시에 프로를 예약한건가	0
447	오후 9시에 TV에 프로를 예약한건가	0
448	TV에 2일 뒤에 프로를 예약한건가	0
449	2일 뒤에 TV에 프로를 예약한건가	0
450	TV에 6일 뒤에 프로를 예약한건가	0
451	6일 뒤에 TV에 프로를 예약한건가	0
452	테레비에 프로를 예약했니	0
453	테레비에 오늘 프로를 예약했니	0
454	오늘 테레비에 프로를 예약했니	0
455	테레비에 다음주 프로를 예약했니	0
456	다음주 테레비에 프로를 예약했니	0
457	테레비에 오후에 프로를 예약했니	0
458	오후에 테레비에 프로를 예약했니	0
459	테레비에 2시에 프로를 예약했니	0
460	2시에 테레비에 프로를 예약했니	0
461	테레비에 12시에 프로를 예약했니	0
462	12시에 테레비에 프로를 예약했니	0
463	테레비에 22시에 프로를 예약했니	0
464	22시에 테레비에 프로를 예약했니	0
465	테레비에 오전 3시에 프로를 예약했니	0
466	오전 3시에 테레비에 프로를 예약했니	0
467	테레비에 오후 3시에 프로를 예약했니	0
468	오후 3시에 테레비에 프로를 예약했니	0
469	테레비에 오전 9시에 프로를 예약했니	0
470	오전 9시에 테레비에 프로를 예약했니	0
471	테레비에 오후 9시에 프로를 예약했니	0
472	오후 9시에 테레비에 프로를 예약했니	0
473	테레비에 2일 뒤에 프로를 예약했니	0
474	2일 뒤에 테레비에 프로를 예약했니	0
475	테레비에 6일 뒤에 프로를 예약했니	0
476	6일 뒤에 테레비에 프로를 예약했니	0
477	테레비에 프로를 예약했지	0
478	테레비에 오늘 프로를 예약했지	0
479	오늘 테레비에 프로를 예약했지	0
480	테레비에 다음주 프로를 예약했지	0
481	다음주 테레비에 프로를 예약했지	0
482	테레비에 오후에 프로를 예약했지	0
483	오후에 테레비에 프로를 예약했지	0
484	테레비에 2시에 프로를 예약했지	0
485	2시에 테레비에 프로를 예약했지	0
486	테레비에 12시에 프로를 예약했지	0
487	12시에 테레비에 프로를 예약했지	0
488	테레비에 22시에 프로를 예약했지	0
489	22시에 테레비에 프로를 예약했지	0
490	테레비에 오전 3시에 프로를 예약했지	0
491	오전 3시에 테레비에 프로를 예약했지	0
492	테레비에 오후 3시에 프로를 예약했지	0
493	오후 3시에 테레비에 프로를 예약했지	0
494	테레비에 오전 9시에 프로를 예약했지	0
495	오전 9시에 테레비에 프로를 예약했지	0
496	테레비에 오후 9시에 프로를 예약했지	0
497	오후 9시에 테레비에 프로를 예약했지	0
498	테레비에 2일 뒤에 프로를 예약했지	0
499	2일 뒤에 테레비에 프로를 예약했지	0
500	테레비에 6일 뒤에 프로를 예약했지	0
501	6일 뒤에 테레비에 프로를 예약했지	0
502	테레비에 프로를 예약했었냐	0
503	테레비에 오늘 프로를 예약했었냐	0
504	오늘 테레비에 프로를 예약했었냐	0
505	테레비에 다음주 프로를 예약했었냐	0
506	다음주 테레비에 프로를 예약했었냐	0
507	테레비에 오후에 프로를 예약했었냐	0
508	오후에 테레비에 프로를 예약했었냐	0
509	테레비에 2시에 프로를 예약했었냐	0
510	2시에 테레비에 프로를 예약했었냐	0
511	테레비에 12시에 프로를 예약했었냐	0
512	12시에 테레비에 프로를 예약했었냐	0
513	테레비에 22시에 프로를 예약했었냐	0
514	22시에 테레비에 프로를 예약했었냐	0
515	테레비에 오전 3시에 프로를 예약했었냐	0
516	오전 3시에 테레비에 프로를 예약했었냐	0
517	테레비에 오후 3시에 프로를 예약했었냐	0
518	오후 3시에 테레비에 프로를 예약했었냐	0
519	테레비에 오전 9시에 프로를 예약했었냐	0
520	오전 9시에 테레비에 프로를 예약했었냐	0
521	테레비에 오후 9시에 프로를 예약했었냐	0
522	오후 9시에 테레비에 프로를 예약했었냐	0
523	테레비에 2일 뒤에 프로를 예약했었냐	0
524	2일 뒤에 테레비에 프로를 예약했었냐	0
525	테레비에 6일 뒤에 프로를 예약했었냐	0
526	6일 뒤에 테레비에 프로를 예약했었냐	0
527	테레비에 프로를 예약한건가	0
528	테레비에 오늘 프로를 예약한건가	0
529	오늘 테레비에 프로를 예약한건가	0
530	테레비에 다음주 프로를 예약한건가	0
531	다음주 테레비에 프로를 예약한건가	0
532	테레비에 오후에 프로를 예약한건가	0
533	오후에 테레비에 프로를 예약한건가	0
534	테레비에 2시에 프로를 예약한건가	0
535	2시에 테레비에 프로를 예약한건가	0
536	테레비에 12시에 프로를 예약한건가	0
537	12시에 테레비에 프로를 예약한건가	0
538	테레비에 22시에 프로를 예약한건가	0
539	22시에 테레비에 프로를 예약한건가	0
540	테레비에 오전 3시에 프로를 예약한건가	0
541	오전 3시에 테레비에 프로를 예약한건가	0
542	테레비에 오후 3시에 프로를 예약한건가	0
543	오후 3시에 테레비에 프로를 예약한건가	0
544	테레비에 오전 9시에 프로를 예약한건가	0
545	오전 9시에 테레비에 프로를 예약한건가	0
546	테레비에 오후 9시에 프로를 예약한건가	0
547	오후 9시에 테레비에 프로를 예약한건가	0
548	테레비에 2일 뒤에 프로를 예약한건가	0
549	2일 뒤에 테레비에 프로를 예약한건가	0
550	테레비에 6일 뒤에 프로를 예약한건가	0
551	6일 뒤에 테레비에 프로를 예약한건가	0
552	텔레비전에 프로를 예약했니	0
553	텔레비전에 오늘 프로를 예약했니	0
554	오늘 텔레비전에 프로를 예약했니	0
555	텔레비전에 다음주 프로를 예약했니	0
556	다음주 텔레비전에 프로를 예약했니	0
557	텔레비전에 오후에 프로를 예약했니	0
558	오후에 텔레비전에 프로를 예약했니	0
559	텔레비전에 2시에 프로를 예약했니	0
560	2시에 텔레비전에 프로를 예약했니	0
561	텔레비전에 12시에 프로를 예약했니	0
562	12시에 텔레비전에 프로를 예약했니	0
563	텔레비전에 22시에 프로를 예약했니	0
564	22시에 텔레비전에 프로를 예약했니	0
565	텔레비전에 오전 3시에 프로를 예약했니	0
566	오전 3시에 텔레비전에 프로를 예약했니	0
567	텔레비전에 오후 3시에 프로를 예약했니	0
568	오후 3시에 텔레비전에 프로를 예약했니	0
569	텔레비전에 오전 9시에 프로를 예약했니	0
570	오전 9시에 텔레비전에 프로를 예약했니	0
571	텔레비전에 오후 9시에 프로를 예약했니	0
572	오후 9시에 텔레비전에 프로를 예약했니	0
573	텔레비전에 2일 뒤에 프로를 예약했니	0
574	2일 뒤에 텔레비전에 프로를 예약했니	0
575	텔레비전에 6일 뒤에 프로를 예약했니	0
576	6일 뒤에 텔레비전에 프로를 예약했니	0
577	텔레비전에 프로를 예약했지	0
578	텔레비전에 오늘 프로를 예약했지	0
579	오늘 텔레비전에 프로를 예약했지	0
580	텔레비전에 다음주 프로를 예약했지	0
581	다음주 텔레비전에 프로를 예약했지	0
582	텔레비전에 오후에 프로를 예약했지	0
583	오후에 텔레비전에 프로를 예약했지	0
584	텔레비전에 2시에 프로를 예약했지	0
585	2시에 텔레비전에 프로를 예약했지	0
586	텔레비전에 12시에 프로를 예약했지	0
587	12시에 텔레비전에 프로를 예약했지	0
588	텔레비전에 22시에 프로를 예약했지	0
589	22시에 텔레비전에 프로를 예약했지	0
590	텔레비전에 오전 3시에 프로를 예약했지	0
591	오전 3시에 텔레비전에 프로를 예약했지	0
592	텔레비전에 오후 3시에 프로를 예약했지	0
593	오후 3시에 텔레비전에 프로를 예약했지	0
594	텔레비전에 오전 9시에 프로를 예약했지	0
595	오전 9시에 텔레비전에 프로를 예약했지	0
596	텔레비전에 오후 9시에 프로를 예약했지	0
597	오후 9시에 텔레비전에 프로를 예약했지	0
598	텔레비전에 2일 뒤에 프로를 예약했지	0
599	2일 뒤에 텔레비전에 프로를 예약했지	0
