id	document	label
137	다음주 예약했었던 프로그램들	0
138	오전에 예약했었던 프로그램들	0
139	오후에 예약했었던 프로그램들	0
140	1시에 예약했었던 프로그램들	0
141	10시에 예약했었던 프로그램들	0
142	19시에 예약했었던 프로그램들	0
143	1시에 예약했었던 프로그램들	0
144	1시에 예약했었던 프로그램들	0
145	6시에 예약했었던 프로그램들	0
146	6시에 예약했었던 프로그램들	0
147	11시에 예약했었던 프로그램들	0
148	11시에 예약했었던 프로그램들	0
149	1일 뒤에 예약했었던 프로그램들	0
150	3일 뒤에 예약했었던 프로그램들	0
151	5일 뒤에 예약했었던 프로그램들	0
152	예약된 방송	0
153	오늘 예약된 방송	0
154	내일 예약된 방송	0
155	모래 예약된 방송	0
156	다음주 예약된 방송	0
157	오전에 예약된 방송	0
158	오후에 예약된 방송	0
159	1시에 예약된 방송	0
160	10시에 예약된 방송	0
161	19시에 예약된 방송	0
162	1시에 예약된 방송	0
163	1시에 예약된 방송	0
164	6시에 예약된 방송	0
165	6시에 예약된 방송	0
166	11시에 예약된 방송	0
167	11시에 예약된 방송	0
168	1일 뒤에 예약된 방송	0
169	3일 뒤에 예약된 방송	0
170	5일 뒤에 예약된 방송	0
171	예약한 방송	0
172	오늘 예약한 방송	0
173	내일 예약한 방송	0
174	모래 예약한 방송	0
175	다음주 예약한 방송	0
176	오전에 예약한 방송	0
177	오후에 예약한 방송	0
178	1시에 예약한 방송	0
179	10시에 예약한 방송	0
180	19시에 예약한 방송	0
181	1시에 예약한 방송	0
182	1시에 예약한 방송	0
183	6시에 예약한 방송	0
184	6시에 예약한 방송	0
185	11시에 예약한 방송	0
186	11시에 예약한 방송	0
187	1일 뒤에 예약한 방송	0
188	3일 뒤에 예약한 방송	0
189	5일 뒤에 예약한 방송	0
190	예약했던 방송	0
191	오늘 예약했던 방송	0
192	내일 예약했던 방송	0
193	모래 예약했던 방송	0
194	다음주 예약했던 방송	0
195	오전에 예약했던 방송	0
196	오후에 예약했던 방송	0
197	1시에 예약했던 방송	0
198	10시에 예약했던 방송	0
199	19시에 예약했던 방송	0
200	1시에 예약했던 방송	0
201	1시에 예약했던 방송	0
202	6시에 예약했던 방송	0
203	6시에 예약했던 방송	0
204	11시에 예약했던 방송	0
205	11시에 예약했던 방송	0
206	1일 뒤에 예약했던 방송	0
207	3일 뒤에 예약했던 방송	0
208	5일 뒤에 예약했던 방송	0
209	예약했었던 방송	0
210	오늘 예약했었던 방송	0
211	내일 예약했었던 방송	0
212	모래 예약했었던 방송	0
213	다음주 예약했었던 방송	0
214	오전에 예약했었던 방송	0
215	오후에 예약했었던 방송	0
216	1시에 예약했었던 방송	0
217	10시에 예약했었던 방송	0
218	19시에 예약했었던 방송	0
219	1시에 예약했었던 방송	0
220	1시에 예약했었던 방송	0
221	6시에 예약했었던 방송	0
222	6시에 예약했었던 방송	0
223	11시에 예약했었던 방송	0
224	11시에 예약했었던 방송	0
225	1일 뒤에 예약했었던 방송	0
226	3일 뒤에 예약했었던 방송	0
227	5일 뒤에 예약했었던 방송	0
228	예약된 방송들	0
229	오늘 예약된 방송들	0
230	내일 예약된 방송들	0
231	모래 예약된 방송들	0
232	다음주 예약된 방송들	0
233	오전에 예약된 방송들	0
234	오후에 예약된 방송들	0
235	1시에 예약된 방송들	0
236	10시에 예약된 방송들	0
237	19시에 예약된 방송들	0
238	1시에 예약된 방송들	0
239	1시에 예약된 방송들	0
240	6시에 예약된 방송들	0
241	6시에 예약된 방송들	0
242	11시에 예약된 방송들	0
243	11시에 예약된 방송들	0
244	1일 뒤에 예약된 방송들	0
245	3일 뒤에 예약된 방송들	0
246	5일 뒤에 예약된 방송들	0
247	예약한 방송들	0
248	오늘 예약한 방송들	0
249	내일 예약한 방송들	0
250	모래 예약한 방송들	0
251	다음주 예약한 방송들	0
252	오전에 예약한 방송들	0
253	오후에 예약한 방송들	0
254	1시에 예약한 방송들	0
255	10시에 예약한 방송들	0
256	19시에 예약한 방송들	0
257	1시에 예약한 방송들	0
258	1시에 예약한 방송들	0
259	6시에 예약한 방송들	0
260	6시에 예약한 방송들	0
261	11시에 예약한 방송들	0
262	11시에 예약한 방송들	0
263	1일 뒤에 예약한 방송들	0
264	3일 뒤에 예약한 방송들	0
265	5일 뒤에 예약한 방송들	0
266	예약했던 방송들	0
267	오늘 예약했던 방송들	0
268	내일 예약했던 방송들	0
269	모래 예약했던 방송들	0
270	다음주 예약했던 방송들	0
271	오전에 예약했던 방송들	0
272	오후에 예약했던 방송들	0
273	1시에 예약했던 방송들	0
274	10시에 예약했던 방송들	0
275	19시에 예약했던 방송들	0
276	1시에 예약했던 방송들	0
277	1시에 예약했던 방송들	0
278	6시에 예약했던 방송들	0
279	6시에 예약했던 방송들	0
280	11시에 예약했던 방송들	0
281	11시에 예약했던 방송들	0
282	1일 뒤에 예약했던 방송들	0
283	3일 뒤에 예약했던 방송들	0
284	5일 뒤에 예약했던 방송들	0
285	예약했었던 방송들	0
286	오늘 예약했었던 방송들	0
287	내일 예약했었던 방송들	0
288	모래 예약했었던 방송들	0
289	다음주 예약했었던 방송들	0
290	오전에 예약했었던 방송들	0
291	오후에 예약했었던 방송들	0
292	1시에 예약했었던 방송들	0
293	10시에 예약했었던 방송들	0
294	19시에 예약했었던 방송들	0
295	1시에 예약했었던 방송들	0
296	1시에 예약했었던 방송들	0
297	6시에 예약했었던 방송들	0
298	6시에 예약했었던 방송들	0
299	11시에 예약했었던 방송들	0
300	11시에 예약했었던 방송들	0
301	1일 뒤에 예약했었던 방송들	0
302	3일 뒤에 예약했었던 방송들	0
303	5일 뒤에 예약했었던 방송들	0
304	오늘 예약된 것	0
305	내일 예약된 것	0
306	모래 예약된 것	0
307	다음주 예약된 것	0
308	오전에 예약된 것	0
309	오후에 예약된 것	0
310	1시에 예약된 것	0
311	10시에 예약된 것	0
312	19시에 예약된 것	0
313	1시에 예약된 것	0
314	1시에 예약된 것	0
315	6시에 예약된 것	0
316	6시에 예약된 것	0
317	11시에 예약된 것	0
318	11시에 예약된 것	0
319	1일 뒤에 예약된 것	0
320	3일 뒤에 예약된 것	0
321	5일 뒤에 예약된 것	0
322	오늘 예약한 것	0
323	내일 예약한 것	0
324	모래 예약한 것	0
325	다음주 예약한 것	0
326	오전에 예약한 것	0
327	오후에 예약한 것	0
328	1시에 예약한 것	0
329	10시에 예약한 것	0
330	19시에 예약한 것	0
331	1시에 예약한 것	0
332	1시에 예약한 것	0
333	6시에 예약한 것	0
334	6시에 예약한 것	0
335	11시에 예약한 것	0
336	11시에 예약한 것	0
337	1일 뒤에 예약한 것	0
338	3일 뒤에 예약한 것	0
339	5일 뒤에 예약한 것	0
340	오늘 예약했던 것	0
341	내일 예약했던 것	0
342	모래 예약했던 것	0
343	다음주 예약했던 것	0
344	오전에 예약했던 것	0
345	오후에 예약했던 것	0
346	1시에 예약했던 것	0
347	10시에 예약했던 것	0
348	19시에 예약했던 것	0
349	1시에 예약했던 것	0
350	1시에 예약했던 것	0
351	6시에 예약했던 것	0
352	6시에 예약했던 것	0
353	11시에 예약했던 것	0
354	11시에 예약했던 것	0
355	1일 뒤에 예약했던 것	0
356	3일 뒤에 예약했던 것	0
357	5일 뒤에 예약했던 것	0
358	오늘 예약했었던 것	0
359	내일 예약했었던 것	0
360	모래 예약했었던 것	0
361	다음주 예약했었던 것	0
362	오전에 예약했었던 것	0
363	오후에 예약했었던 것	0
364	1시에 예약했었던 것	0
365	10시에 예약했었던 것	0
366	19시에 예약했었던 것	0
367	1시에 예약했었던 것	0
368	1시에 예약했었던 것	0
369	6시에 예약했었던 것	0
370	6시에 예약했었던 것	0
371	11시에 예약했었던 것	0
372	11시에 예약했었던 것	0
373	1일 뒤에 예약했었던 것	0
374	3일 뒤에 예약했었던 것	0
375	5일 뒤에 예약했었던 것	0
376	TV에 예약된 프로	0
377	TV에 오늘 예약된 프로	0
378	오늘 TV에 예약된 프로	0
379	TV에 내일 예약된 프로	0
380	내일 TV에 예약된 프로	0
381	TV에 모래 예약된 프로	0
382	모래 TV에 예약된 프로	0
383	TV에 다음주 예약된 프로	0
384	다음주 TV에 예약된 프로	0
385	TV에 오전에 예약된 프로	0
386	오전에 TV에 예약된 프로	0
387	TV에 오후에 예약된 프로	0
388	오후에 TV에 예약된 프로	0
389	TV에 1시에 예약된 프로	0
390	1시에 TV에 예약된 프로	0
391	TV에 10시에 예약된 프로	0
392	10시에 TV에 예약된 프로	0
393	TV에 19시에 예약된 프로	0
394	19시에 TV에 예약된 프로	0
395	TV에 오전 1시에 예약된 프로	0
396	오전 1시에 TV에 예약된 프로	0
397	TV에 오후 1시에 예약된 프로	0
398	오후 1시에 TV에 예약된 프로	0
399	TV에 오전 6시에 예약된 프로	0
400	오전 6시에 TV에 예약된 프로	0
401	TV에 오후 6시에 예약된 프로	0
402	오후 6시에 TV에 예약된 프로	0
403	TV에 오전 11시에 예약된 프로	0
404	오전 11시에 TV에 예약된 프로	0
405	TV에 오후 11시에 예약된 프로	0
406	오후 11시에 TV에 예약된 프로	0
407	TV에 1일 뒤에 예약된 프로	0
408	1일 뒤에 TV에 예약된 프로	0
409	TV에 3일 뒤에 예약된 프로	0
410	3일 뒤에 TV에 예약된 프로	0
411	TV에 5일 뒤에 예약된 프로	0
412	5일 뒤에 TV에 예약된 프로	0
413	TV에 예약한 프로	0
414	TV에 오늘 예약한 프로	0
415	오늘 TV에 예약한 프로	0
416	TV에 내일 예약한 프로	0
417	내일 TV에 예약한 프로	0
418	TV에 모래 예약한 프로	0
419	모래 TV에 예약한 프로	0
420	TV에 다음주 예약한 프로	0
421	다음주 TV에 예약한 프로	0
422	TV에 오전에 예약한 프로	0
423	오전에 TV에 예약한 프로	0
424	TV에 오후에 예약한 프로	0
425	오후에 TV에 예약한 프로	0
426	TV에 1시에 예약한 프로	0
427	1시에 TV에 예약한 프로	0
428	TV에 10시에 예약한 프로	0
429	10시에 TV에 예약한 프로	0
430	TV에 19시에 예약한 프로	0
431	19시에 TV에 예약한 프로	0
432	TV에 오전 1시에 예약한 프로	0
433	오전 1시에 TV에 예약한 프로	0
434	TV에 오후 1시에 예약한 프로	0
435	오후 1시에 TV에 예약한 프로	0
436	TV에 오전 6시에 예약한 프로	0
437	오전 6시에 TV에 예약한 프로	0
438	TV에 오후 6시에 예약한 프로	0
439	오후 6시에 TV에 예약한 프로	0
440	TV에 오전 11시에 예약한 프로	0
441	오전 11시에 TV에 예약한 프로	0
442	TV에 오후 11시에 예약한 프로	0
443	오후 11시에 TV에 예약한 프로	0
444	TV에 1일 뒤에 예약한 프로	0
445	1일 뒤에 TV에 예약한 프로	0
446	TV에 3일 뒤에 예약한 프로	0
447	3일 뒤에 TV에 예약한 프로	0
448	TV에 5일 뒤에 예약한 프로	0
449	5일 뒤에 TV에 예약한 프로	0
450	TV에 예약했던 프로	0
451	TV에 오늘 예약했던 프로	0
452	오늘 TV에 예약했던 프로	0
453	TV에 내일 예약했던 프로	0
454	내일 TV에 예약했던 프로	0
455	TV에 모래 예약했던 프로	0
456	모래 TV에 예약했던 프로	0
457	TV에 다음주 예약했던 프로	0
458	다음주 TV에 예약했던 프로	0
459	TV에 오전에 예약했던 프로	0
460	오전에 TV에 예약했던 프로	0
461	TV에 오후에 예약했던 프로	0
462	오후에 TV에 예약했던 프로	0
463	TV에 1시에 예약했던 프로	0
464	1시에 TV에 예약했던 프로	0
465	TV에 10시에 예약했던 프로	0
466	10시에 TV에 예약했던 프로	0
467	TV에 19시에 예약했던 프로	0
468	19시에 TV에 예약했던 프로	0
469	TV에 오전 1시에 예약했던 프로	0
470	오전 1시에 TV에 예약했던 프로	0
471	TV에 오후 1시에 예약했던 프로	0
472	오후 1시에 TV에 예약했던 프로	0
473	TV에 오전 6시에 예약했던 프로	0
474	오전 6시에 TV에 예약했던 프로	0
475	TV에 오후 6시에 예약했던 프로	0
476	오후 6시에 TV에 예약했던 프로	0
477	TV에 오전 11시에 예약했던 프로	0
478	오전 11시에 TV에 예약했던 프로	0
479	TV에 오후 11시에 예약했던 프로	0
480	오후 11시에 TV에 예약했던 프로	0
481	TV에 1일 뒤에 예약했던 프로	0
482	1일 뒤에 TV에 예약했던 프로	0
483	TV에 3일 뒤에 예약했던 프로	0
484	3일 뒤에 TV에 예약했던 프로	0
485	TV에 5일 뒤에 예약했던 프로	0
486	5일 뒤에 TV에 예약했던 프로	0
487	TV에 예약했었던 프로	0
488	TV에 오늘 예약했었던 프로	0
489	오늘 TV에 예약했었던 프로	0
490	TV에 내일 예약했었던 프로	0
491	내일 TV에 예약했었던 프로	0
492	TV에 모래 예약했었던 프로	0
493	모래 TV에 예약했었던 프로	0
494	TV에 다음주 예약했었던 프로	0
495	다음주 TV에 예약했었던 프로	0
496	TV에 오전에 예약했었던 프로	0
497	오전에 TV에 예약했었던 프로	0
498	TV에 오후에 예약했었던 프로	0
499	오후에 TV에 예약했었던 프로	0
500	TV에 1시에 예약했었던 프로	0
501	1시에 TV에 예약했었던 프로	0
502	TV에 10시에 예약했었던 프로	0
503	10시에 TV에 예약했었던 프로	0
504	TV에 19시에 예약했었던 프로	0
505	19시에 TV에 예약했었던 프로	0
506	TV에 오전 1시에 예약했었던 프로	0
507	오전 1시에 TV에 예약했었던 프로	0
508	TV에 오후 1시에 예약했었던 프로	0
509	오후 1시에 TV에 예약했었던 프로	0
510	TV에 오전 6시에 예약했었던 프로	0
511	오전 6시에 TV에 예약했었던 프로	0
512	TV에 오후 6시에 예약했었던 프로	0
513	오후 6시에 TV에 예약했었던 프로	0
514	TV에 오전 11시에 예약했었던 프로	0
515	오전 11시에 TV에 예약했었던 프로	0
516	TV에 오후 11시에 예약했었던 프로	0
517	오후 11시에 TV에 예약했었던 프로	0
518	TV에 1일 뒤에 예약했었던 프로	0
519	1일 뒤에 TV에 예약했었던 프로	0
520	TV에 3일 뒤에 예약했었던 프로	0
521	3일 뒤에 TV에 예약했었던 프로	0
522	TV에 5일 뒤에 예약했었던 프로	0
523	5일 뒤에 TV에 예약했었던 프로	0
524	TV에 예약된 프로그램들	0
525	TV에 오늘 예약된 프로그램들	0
526	오늘 TV에 예약된 프로그램들	0
527	TV에 내일 예약된 프로그램들	0
528	내일 TV에 예약된 프로그램들	0
529	TV에 모래 예약된 프로그램들	0
530	모래 TV에 예약된 프로그램들	0
531	TV에 다음주 예약된 프로그램들	0
532	다음주 TV에 예약된 프로그램들	0
533	TV에 오전에 예약된 프로그램들	0
534	오전에 TV에 예약된 프로그램들	0
535	TV에 오후에 예약된 프로그램들	0
536	오후에 TV에 예약된 프로그램들	0
537	TV에 1시에 예약된 프로그램들	0
538	1시에 TV에 예약된 프로그램들	0
539	TV에 10시에 예약된 프로그램들	0
540	10시에 TV에 예약된 프로그램들	0
541	TV에 19시에 예약된 프로그램들	0
542	19시에 TV에 예약된 프로그램들	0
543	TV에 오전 1시에 예약된 프로그램들	0
544	오전 1시에 TV에 예약된 프로그램들	0
545	TV에 오후 1시에 예약된 프로그램들	0
546	오후 1시에 TV에 예약된 프로그램들	0
547	TV에 오전 6시에 예약된 프로그램들	0
548	오전 6시에 TV에 예약된 프로그램들	0
549	TV에 오후 6시에 예약된 프로그램들	0
550	오후 6시에 TV에 예약된 프로그램들	0
551	TV에 오전 11시에 예약된 프로그램들	0
552	오전 11시에 TV에 예약된 프로그램들	0
553	TV에 오후 11시에 예약된 프로그램들	0
554	오후 11시에 TV에 예약된 프로그램들	0
555	TV에 1일 뒤에 예약된 프로그램들	0
556	1일 뒤에 TV에 예약된 프로그램들	0
557	TV에 3일 뒤에 예약된 프로그램들	0
558	3일 뒤에 TV에 예약된 프로그램들	0
559	TV에 5일 뒤에 예약된 프로그램들	0
560	5일 뒤에 TV에 예약된 프로그램들	0
561	TV에 예약한 프로그램들	0
562	TV에 오늘 예약한 프로그램들	0
563	오늘 TV에 예약한 프로그램들	0
564	TV에 내일 예약한 프로그램들	0
565	내일 TV에 예약한 프로그램들	0
566	TV에 모래 예약한 프로그램들	0
567	모래 TV에 예약한 프로그램들	0
568	TV에 다음주 예약한 프로그램들	0
569	다음주 TV에 예약한 프로그램들	0
570	TV에 오전에 예약한 프로그램들	0
571	오전에 TV에 예약한 프로그램들	0
572	TV에 오후에 예약한 프로그램들	0
573	오후에 TV에 예약한 프로그램들	0
574	TV에 1시에 예약한 프로그램들	0
575	1시에 TV에 예약한 프로그램들	0
576	TV에 10시에 예약한 프로그램들	0
577	10시에 TV에 예약한 프로그램들	0
578	TV에 19시에 예약한 프로그램들	0
579	19시에 TV에 예약한 프로그램들	0
580	TV에 오전 1시에 예약한 프로그램들	0
581	오전 1시에 TV에 예약한 프로그램들	0
582	TV에 오후 1시에 예약한 프로그램들	0
583	오후 1시에 TV에 예약한 프로그램들	0
584	TV에 오전 6시에 예약한 프로그램들	0
585	오전 6시에 TV에 예약한 프로그램들	0
586	TV에 오후 6시에 예약한 프로그램들	0
587	오후 6시에 TV에 예약한 프로그램들	0
588	TV에 오전 11시에 예약한 프로그램들	0
589	오전 11시에 TV에 예약한 프로그램들	0
590	TV에 오후 11시에 예약한 프로그램들	0
591	오후 11시에 TV에 예약한 프로그램들	0
592	TV에 1일 뒤에 예약한 프로그램들	0
593	1일 뒤에 TV에 예약한 프로그램들	0
594	TV에 3일 뒤에 예약한 프로그램들	0
595	3일 뒤에 TV에 예약한 프로그램들	0
596	TV에 5일 뒤에 예약한 프로그램들	0
597	5일 뒤에 TV에 예약한 프로그램들	0
598	TV에 예약했던 프로그램들	0
599	TV에 오늘 예약했던 프로그램들	0
600	오늘 TV에 예약했던 프로그램들	0
601	TV에 내일 예약했던 프로그램들	0
602	내일 TV에 예약했던 프로그램들	0
603	TV에 모래 예약했던 프로그램들	0
604	모래 TV에 예약했던 프로그램들	0
605	TV에 다음주 예약했던 프로그램들	0
606	다음주 TV에 예약했던 프로그램들	0
607	TV에 오전에 예약했던 프로그램들	0
608	오전에 TV에 예약했던 프로그램들	0
609	TV에 오후에 예약했던 프로그램들	0
610	오후에 TV에 예약했던 프로그램들	0
611	TV에 1시에 예약했던 프로그램들	0
612	1시에 TV에 예약했던 프로그램들	0
613	TV에 10시에 예약했던 프로그램들	0
614	10시에 TV에 예약했던 프로그램들	0
615	TV에 19시에 예약했던 프로그램들	0
616	19시에 TV에 예약했던 프로그램들	0
617	TV에 오전 1시에 예약했던 프로그램들	0
618	오전 1시에 TV에 예약했던 프로그램들	0
619	TV에 오후 1시에 예약했던 프로그램들	0
620	오후 1시에 TV에 예약했던 프로그램들	0
621	TV에 오전 6시에 예약했던 프로그램들	0
622	오전 6시에 TV에 예약했던 프로그램들	0
623	TV에 오후 6시에 예약했던 프로그램들	0
624	오후 6시에 TV에 예약했던 프로그램들	0
625	TV에 오전 11시에 예약했던 프로그램들	0
626	오전 11시에 TV에 예약했던 프로그램들	0
627	TV에 오후 11시에 예약했던 프로그램들	0
628	오후 11시에 TV에 예약했던 프로그램들	0
629	TV에 1일 뒤에 예약했던 프로그램들	0
630	1일 뒤에 TV에 예약했던 프로그램들	0
631	TV에 3일 뒤에 예약했던 프로그램들	0
632	3일 뒤에 TV에 예약했던 프로그램들	0
633	TV에 5일 뒤에 예약했던 프로그램들	0
634	5일 뒤에 TV에 예약했던 프로그램들	0
635	TV에 예약했었던 프로그램들	0
636	TV에 오늘 예약했었던 프로그램들	0
637	오늘 TV에 예약했었던 프로그램들	0
638	TV에 내일 예약했었던 프로그램들	0
639	내일 TV에 예약했었던 프로그램들	0
640	TV에 모래 예약했었던 프로그램들	0
641	모래 TV에 예약했었던 프로그램들	0
642	TV에 다음주 예약했었던 프로그램들	0
643	다음주 TV에 예약했었던 프로그램들	0
644	TV에 오전에 예약했었던 프로그램들	0
645	오전에 TV에 예약했었던 프로그램들	0
646	TV에 오후에 예약했었던 프로그램들	0
647	오후에 TV에 예약했었던 프로그램들	0
648	TV에 1시에 예약했었던 프로그램들	0
649	1시에 TV에 예약했었던 프로그램들	0
650	TV에 10시에 예약했었던 프로그램들	0
651	10시에 TV에 예약했었던 프로그램들	0
652	TV에 19시에 예약했었던 프로그램들	0
653	19시에 TV에 예약했었던 프로그램들	0
654	TV에 오전 1시에 예약했었던 프로그램들	0
655	오전 1시에 TV에 예약했었던 프로그램들	0
656	TV에 오후 1시에 예약했었던 프로그램들	0
657	오후 1시에 TV에 예약했었던 프로그램들	0
658	TV에 오전 6시에 예약했었던 프로그램들	0
659	오전 6시에 TV에 예약했었던 프로그램들	0
660	TV에 오후 6시에 예약했었던 프로그램들	0
661	오후 6시에 TV에 예약했었던 프로그램들	0
662	TV에 오전 11시에 예약했었던 프로그램들	0
663	오전 11시에 TV에 예약했었던 프로그램들	0
664	TV에 오후 11시에 예약했었던 프로그램들	0
665	오후 11시에 TV에 예약했었던 프로그램들	0
666	TV에 1일 뒤에 예약했었던 프로그램들	0
667	1일 뒤에 TV에 예약했었던 프로그램들	0
668	TV에 3일 뒤에 예약했었던 프로그램들	0
669	3일 뒤에 TV에 예약했었던 프로그램들	0
670	TV에 5일 뒤에 예약했었던 프로그램들	0
671	5일 뒤에 TV에 예약했었던 프로그램들	0
672	TV에 예약된 방송	0
673	TV에 오늘 예약된 방송	0
674	오늘 TV에 예약된 방송	0
675	TV에 내일 예약된 방송	0
676	내일 TV에 예약된 방송	0
677	TV에 모래 예약된 방송	0
678	모래 TV에 예약된 방송	0
679	TV에 다음주 예약된 방송	0
680	다음주 TV에 예약된 방송	0
681	TV에 오전에 예약된 방송	0
682	오전에 TV에 예약된 방송	0
683	TV에 오후에 예약된 방송	0
684	오후에 TV에 예약된 방송	0
685	TV에 1시에 예약된 방송	0
686	1시에 TV에 예약된 방송	0
687	TV에 10시에 예약된 방송	0
688	10시에 TV에 예약된 방송	0
689	TV에 19시에 예약된 방송	0
690	19시에 TV에 예약된 방송	0
691	TV에 오전 1시에 예약된 방송	0
692	오전 1시에 TV에 예약된 방송	0
693	TV에 오후 1시에 예약된 방송	0
694	오후 1시에 TV에 예약된 방송	0
695	TV에 오전 6시에 예약된 방송	0
696	오전 6시에 TV에 예약된 방송	0
697	TV에 오후 6시에 예약된 방송	0
698	오후 6시에 TV에 예약된 방송	0
699	TV에 오전 11시에 예약된 방송	0
700	오전 11시에 TV에 예약된 방송	0
701	TV에 오후 11시에 예약된 방송	0
702	오후 11시에 TV에 예약된 방송	0
703	TV에 1일 뒤에 예약된 방송	0
704	1일 뒤에 TV에 예약된 방송	0
705	TV에 3일 뒤에 예약된 방송	0
706	3일 뒤에 TV에 예약된 방송	0
707	TV에 5일 뒤에 예약된 방송	0
708	5일 뒤에 TV에 예약된 방송	0
709	TV에 예약한 방송	0
710	TV에 오늘 예약한 방송	0
711	오늘 TV에 예약한 방송	0
712	TV에 내일 예약한 방송	0
713	내일 TV에 예약한 방송	0
714	TV에 모래 예약한 방송	0
715	모래 TV에 예약한 방송	0
716	TV에 다음주 예약한 방송	0
717	다음주 TV에 예약한 방송	0
718	TV에 오전에 예약한 방송	0
719	오전에 TV에 예약한 방송	0
720	TV에 오후에 예약한 방송	0
